Mes,Año,Empresa,Tarifa,Abonados,Ventas,"Ingreso sin CVG","Ingreso con CVG","Precio Medio sin CVG","Precio Medio con CVG",Trimestre,Sistema,Trimestral
"Enero     ",2023,COOPELESCA,"Media tensión a",3,838905,73199907,72959565,87.26,86.97,"I Trimestre",Distribucion,"2023 1"
"Enero     ",2023,COOPESANTOS,"Media tensión a",7,1914787,159261588,159774895,83.17,83.44,"I Trimestre",Distribucion,"2023 1"
"Enero     ",2023,ESPH,"Media tensión a",5,479707,35824483,32259344,74.68,67.25,"I Trimestre",Distribucion,"2023 1"
"Enero     ",2023,ICE,"Media tensión a",573,56237227,4176006544,3915994452,74.26,69.63,"I Trimestre",Distribucion,"2023 1"
"Enero     ",2023,JASEC,"Media tensión a",27,6948330,478840642,484203657,68.91,69.69,"I Trimestre",Distribucion,"2023 1"
"Enero     ",2023,"TOTAL NACIONAL","Media tensión a",859,94109242.25,7135348468,6821240818,75.82,72.48,"I Trimestre",Distribucion,"2023 1"
"Enero     ",2023,CNFL,"Media tensión b",76,21766975,1384582839,1349366215,63.61,61.99,"I Trimestre",Distribucion,"2023 1"
"Enero     ",2023,COOPELESCA,"Media tensión b",6,4819806,346592816,343983667,71.91,71.37,"I Trimestre",Distribucion,"2023 1"
"Enero     ",2023,JASEC,"Media tensión b",9,8497175,501050174,506661935,58.97,59.63,"I Trimestre",Distribucion,"2023 1"
"Enero     ",2023,ICE,"Media tensión b",130,55562828,3244437864,3135270974,58.39,56.43,"I Trimestre",Distribucion,"2023 1"
"Enero     ",2023,ESPH,"Media tensión b",8,6046857,372652655,335561888,61.63,55.49,"I Trimestre",Distribucion,"2023 1"
"Enero     ",2023,"TOTAL NACIONAL","Media tensión b",221,90646784,5476663693,5335282791,60.42,58.86,"I Trimestre",Distribucion,"2023 1"
"Enero     ",2023,CNFL,Preferencial,3064,9111525,597606004,543790410,65.59,59.68,"I Trimestre",Distribucion,"2023 1"
"Enero     ",2023,COOPESANTOS,Preferencial,441,104834,13841907,13381767,132.04,127.65,"I Trimestre",Distribucion,"2023 1"
"Enero     ",2023,ESPH,Preferencial,890,3530278,228628361,207548483,64.76,58.79,"I Trimestre",Distribucion,"2023 1"
"Enero     ",2023,ICE,Preferencial,6821,12348094,1009857292,928256265,81.78,75.17,"I Trimestre",Distribucion,"2023 1"
"Enero     ",2023,JASEC,Preferencial,654,801129,36002944,36579019,44.94,45.66,"I Trimestre",Distribucion,"2023 1"
"Enero     ",2023,"TOTAL NACIONAL",Preferencial,11870,25895860,1885936508,1729555944,72.83,66.79,"I Trimestre",Distribucion,"2023 1"
"Enero     ",2023,CNFL,Promocional,37,805468,66189585,64489175,82.18,80.06,"I Trimestre",Distribucion,"2023 1"
"Enero     ",2023,"TOTAL NACIONAL",Promocional,37,805468,66189585,64489175,82.18,80.06,"I Trimestre",Distribucion,"2023 1"
"Enero     ",2023,CNFL,Residencial,519192,118976123,10060396909,9103324860,84.56,76.51,"I Trimestre",Distribucion,"2023 1"
"Enero     ",2023,COOPEALFARORUIZ,Residencial,6180,1387751,111835084,112552191,80.59,81.1,"I Trimestre",Distribucion,"2023 1"
"Enero     ",2023,COOPEGUANACASTE,Residencial,74226,24206352.38,2001072583,1905012496,82.67,78.7,"I Trimestre",Distribucion,"2023 1"
