idHistoricoTarifas,"Tipo Vehículo","Tipo Revisión","Fecha Rige Tarifa","Tarifa Mínima ¢","Tarifa Máxima ¢","Número Resolución","Fecha Publicación",Expediente
45,"Taxis (inspección)",Inspección,01-01-2019,14830,14830," RE-0166-IT-2018",16-12-2018," ET-043-2018"
46,"Buses (bus, buseta, microbús) (inspección)",Inspección,01-01-2019,18100,18100," RE-0166-IT-2018",16-12-2018," ET-043-2018"
47,"Motocicletas (inspección)",Inspección,01-01-2019,9055,9055," RE-0166-IT-2018",16-12-2018," ET-043-2018"
48,"Equipo especial (grúas, maq. de obra)(inspección)",Inspección,01-01-2019,18100,18100," RE-0166-IT-2018",16-12-2018," ET-043-2018"
49,"Equipo especial (maq. agrícola) (inspección)",Inspección,01-01-2019,8335,8335," RE-0166-IT-2018",16-12-2018," ET-043-2018"
50,"Vehículo peso menor 3,5 ton (reinspección)",Reinnspección,01-01-2019,6872.5,6872.5," RE-0166-IT-2018",16-12-2018," ET-043-2018"
51,"Vehículo peso mayor 3,5 ton (reinspección)",Reinnspección,01-01-2019,9050,9050," RE-0166-IT-2018",16-12-2018," ET-043-2018"
52,"Taxis (reinspección)",Reinnspección,01-01-2019,7415,7415," RE-0166-IT-2018",16-12-2018," ET-043-2018"
53,"Buses (bus, buseta, microbús) (reinspección)",Reinnspección,01-01-2019,9050,9050," RE-0166-IT-2018",16-12-2018," ET-043-2018"
54,"Motocicletas (reinspección)",Reinnspección,01-01-2019,4527.5,4527.5," RE-0166-IT-2018",16-12-2018," ET-043-2018"
55,"Equip especial(grúas, maq. de obra) (reinspección)",Reinnspección,01-01-2019,9050,9050," RE-0166-IT-2018",16-12-2018," ET-043-2018"
56,"Equipo especial(maq. agrícola) (reinspección)",Reinnspección,01-01-2019,4167.5,4167.5," RE-0166-IT-2018",16-12-2018," ET-043-2018"
29,"Vehículo peso menor 3,5 ton (inspección)",Inspección,10-05-2018,13405,13405," RIT-029-2017",05-05-2017," ET-006-2017"
30,"Vehículo peso mayor 3,5 ton (inspección)",Inspección,10-05-2018,17650,17650," RIT-029-2017",05-05-2017," ET-006-2017"
31,"Taxis (inspección)",Inspección,10-05-2018,14460,14460," RIT-029-2017",05-05-2017," ET-006-2017"
32,"Buses (bus, buseta, microbús) (inspección)",Inspección,10-05-2018,17650,17650," RIT-029-2017",05-05-2017," ET-006-2017"
33,"Motocicletas (inspección)",Inspección,10-05-2018,8830,8830," RIT-029-2017",05-05-2017," ET-006-2017"
34,"Equipo especial (grúas, maq. de obra)(inspección)",Inspección,10-05-2018,17650,17650," RIT-029-2017",05-05-2017," ET-006-2017"
35,"Equipo especial (maq. agrícola) (inspección)",Inspección,10-05-2018,8130,8130," RIT-029-2017",05-05-2017," ET-006-2017"
36,"Vehículo peso menor 3,5 ton (reinspección)",Reinnspección,10-05-2018,6702.5,6702.5," RIT-029-2017",05-05-2017," ET-006-2017"
37,"Vehículo peso mayor 3,5 ton (reinspección)",Reinnspección,10-05-2018,8825,8825," RIT-029-2017",05-05-2017," ET-006-2017"
